show,type,genre,opening,closing,performances
&#34;It's a Bird...It's a Plane...It's Superman&#34;,Original,"Musical, Comedy","Mar 29, 1966","Jul 17, 1966",129
&#34;MASTER HAROLD&#34;&#133;and the boys,Original,"Play, Drama","May 04, 1982","Feb 26, 1983",344
&#34;MASTER HAROLD&#34;&#133;and the boys,Revival,"Play, Drama","Jun 01, 2003","Jul 13, 2003",49
&#34;Tone Pictures&#34; and &#34;The White Peacock&#34;,Original,"Special, Ballet","Apr 05, 1927",May 1927,31
'Ception Shoals,Original,Play,"Jan 10, 1917",<em>Closing date unknown</em>,37
'Lijah,Original,Play,"May 11, 1928","May 11, 1928",1
"'night, Mother",Original,Play,"Mar 31, 1983","Feb 26, 1984",380
"'night, Mother",Revival,"Play, Drama","Nov 14, 2004","Jan 09, 2005",65
'Round New York in 80 Minutes,Original,"Musical, Comedy","Nov 06, 1899","Feb 24, 1900",50
(From) Broadway to Paris,Original,"Musical, Revue","Nov 20, 1912","Jan 25, 1913",77
(Raymond Hitchcock's) Pin Wheel,Original,"Musical, Revue","Jun 15, 1922","Jul 08, 1922",28
[title of show],Original,"Musical, Comedy","Jul 17, 2008","Oct 12, 2008",102
110 in the Shade,Original,Musical,"Oct 24, 1963","Aug 08, 1964",330
110 in the Shade,Revival,Musical,"May 09, 2007","Jul 29, 2007",94
"12,000",Original,Play,"Mar 12, 1928",Jul 1928,64
13,Original,"Musical, Comedy","Oct 05, 2008","Jan 04, 2009",105
13 Daughters,Original,Musical,"Mar 02, 1961","Mar 25, 1961",28
13 Rue de l'Amour,Original,Play,"Mar 16, 1978","May 21, 1978",77
1492,Original,"Musical, Extravaganza","May 15, 1893","Aug 31, 1894",400
1492,Original,"Musical, Extravaganza","Aug 27, 1894","Oct 13, 1894",52
1600 Pennsylvania Avenue,Original,Musical,"May 04, 1976","May 08, 1976",7
1931-,Original,"Play, Drama","Dec 10, 1931",Dec 1931,12
1935,Original,"Special, Sketches","May 12, 1936",Jun 1936,34
1940!,Original,"Musical, Extravaganza","Oct 15, 1840","Nov 24, 1840",32
1984,Original,"Play, Drama","Jun 22, 2017","Oct 08, 2017",125
2 x 2 = 5,Original,"Play, Comedy","Nov 28, 1927",Dec 1927,16
200 Were Chosen,Original,"Play, Drama","Nov 20, 1936",Dec 1936,35
3 Bags Full,Original,"Play, Comedy","Mar 06, 1966","Apr 02, 1966",33
3 for Tonight,Original,"Musical, Revue","Apr 06, 1955","Jun 18, 1955",85
3 From Brooklyn,Original,Special,"Nov 19, 1992","Dec 27, 1992",45
3 Penny Opera,Revival,"Musical, Drama","Nov 05, 1989","Dec 31, 1989",65
3 x 3,Original,"Special, Ballet","Sep 04, 1958","Oct 11, 1958",44
39 East,Original,Play,"Mar 31, 1919",<em>Closing date unknown</em>,160
42 Seconds from Broadway,Original,"Play, Comedy","Mar 11, 1973","Mar 11, 1973",1
42nd Street,Original,"Musical, Comedy","Aug 25, 1980","Jan 08, 1989",3486
42nd Street,Revival,"Musical, Comedy","May 02, 2001","Jan 02, 2005",1524
45 Seconds From Broadway,Original,"Play, Comedy","Nov 11, 2001","Jan 13, 2002",73
57 Bowery,Original,"Play, Comedy","Jan 26, 1928",Feb 1928,28
6 Rms Riv Vu,Original,"Play, Comedy","Oct 17, 1972","May 19, 1973",247
"70, Girls, 70",Original,Musical,"Apr 15, 1971","May 15, 1971",35
700 Sundays,Original,"Play, Solo","Dec 05, 2004","Jun 12, 2005",163
700 Sundays,Original,"Play, Solo","Nov 13, 2013","Jan 05, 2014",46
84 Charing Cross Road,Original,Play,"Dec 07, 1982","Feb 27, 1983",96
9 to 5,Original,"Musical, Comedy","Apr 30, 2009","Sep 06, 2009",148
90 Horse Power,Original,"Play, Comedy","Mar 15, 1926",Apr 1926,24
90 in the Shade,Original,Musical,"Jan 25, 1915","Feb 27, 1915",40
A Bachelor's Night,Original,"Play, Farce","Oct 17, 1921",Oct 1921,8
A Ball in Old Vienna,Original,"Special, Ballet","Feb 03, 1942","Mar 14, 1942",19
A Behanding in Spokane,Original,"Play, Comedy","Mar 04, 2010","Jun 06, 2010",108
A Bell for Adano,Original,"Play, Drama","Dec 06, 1944","Oct 27, 1945",296
A Bill of Divorcement,Original,"Play, Drama","Oct 10, 1921",Mar 1922,173
A Bird of Paradise,Original,"Musical, Drama","Jan 29, 1867","Feb 09, 1867",15
A Bit of Love,Original,"Play, Drama","May 12, 1925",May 1925,4
A Blot in the 'Scutcheon,Revival,"Play, Tragedy","Apr 07, 1905","May 05, 1905",5
A Boy Who Lived Twice,Original,Play,"Sep 11, 1945","Sep 22, 1945",15
A Broadway Musical,Original,Musical,"Dec 21, 1978","Dec 21, 1978",1
A Broken Idol,Original,"Musical, Farce","Aug 16, 1909","Sep 18, 1909",40
A Bronx Tale,Original,"Play, Solo","Oct 25, 2007","Feb 24, 2008",111
A Bronx Tale The Musical,Original,"Musical, Drama","Dec 01, 2016","Aug 05, 2018",700
A Burgomaster of Belgium,Original,Play,"Mar 24, 1919",Apr 1919,32
A Burmese Pwe,Original,"Special, Drama","Mar 16, 1926",Apr 1926,27
A Butterfly on the Wheel,Original,Play,"Jan 09, 1912",Jun 1912,191
A Call on Kuprin,Original,Play,"May 25, 1961","Jun 03, 1961",12
A Case of Frenzied Finance,Original,"Play, Comedy","Apr 03, 1905",Apr 1905,8
A Case of Libel,Original,"Play, Drama","Oct 10, 1963","May 09, 1964",242
A Case of Youth,Original,"Play, Comedy","Mar 23, 1940","Mar 27, 1940",5
A Catered Affair,Original,Musical,"Apr 17, 2008","Jul 27, 2008",116
A Celebrated Case,Original,Play,"Jan 23, 1878","May 11, 1878",111
A Celebrated Case,Revival,Play,"Apr 07, 1915",Sep 1915,176
A Certain Party,Original,"Musical, Farce","Apr 24, 1911","May 13, 1911",24
A Change in the Heir,Original,"Musical, Comedy","Apr 29, 1990","May 13, 1990",23
A China Doll,Original,Musical,"Nov 19, 1904","Dec 03, 1904",18
