season,gross,attendance,duration,newProductions
2017-18,"1,697",,13.79,"1,624"
2016-17,"1,449",,13.27,"1,580"
2015-16,"1,373",,13.32,"1,648"
2014-15,"1,365",,13.10,"1,626"
2013-14,"1,269",,12.21,"1,496"
2012-13,"1,139",,11.57,"1,430"
2011-12,"1,139",,12.33,"1,522"
2010-11,"1,081",,12.53,"1,588"
2009-10,"1,020",,11.89,"1,464"
2008-09,943,943,12.15,"1,548"
2007-08,938,938,12.27,"1,560"
2006-07,939,939,12.31,"1,509"
2005-06,862,862,12.00,"1,501"
2004-05,769,769,11.53,"1,494"
2003-04,771,771,11.61,"1,451"
2002-03,721,721,11.42,"1,544"
2001-02,643,643,10.95,"1,433"
2000-01,666,666,11.90,"1,484"
1999-00,603,603,11.39,"1,460"
1998-99,588,588,11.67,"1,441"
1997-98,558,558,11.48,"1,442"
1996-97,499,499,10.57,"1,349"
1995-96,436,436,9.47,"1,146"
1994-95,406,406,9.04,"1,120"
1993-94,356,356,8.11,"1,066"
1992-93,328,328,7.86,"1,019"
1991-92,293,293,7.38,905
1990-91,267,267,7.32,976
1989-90,282,282,8.04,"1,070"
1988-89,262,262,7.96,"1,108"
1987-88,253,253,8.14,"1,113"
1986-87,208,208,7.04,"1,039"
1985-86,190,190,6.54,"1,041"
1984-85,209,209,7.26,"1,078"
