time,show,venue,genre,location,type
2016-2017,42nd Street,Drury Lane (Theatre Royal),Musical,"London, EN",London
2018-2019,9 to 5,Savoy Theatre,"Musical, Comedy","London, EN",London
2018-2019,After Edward,Shakespeare's Globe- Sam Wanamaker Playhouse,Play,London,London
2016-2017,Aladdin,Prince Edward Theatre,Musical,"London, EN",London
2018-2019,All About Eve,Noël Coward Theatre (formerly Albery),Play,"London, EN",London
2018-2019,All My Sons,Old Vic Theatre,Drama,"London, EN",London
2018-2019,"Alys, always",The Bridge Theatre - London,Play,"London, EN",London
2018-2019,The American Clock,Old Vic Theatre,Musical,"London, EN",London
2018-2019,The Animals and Children Took to the Streets,Lyric Theatre Hammersmith,Drama,"London, EN",London
2018-2019,Antony and Cleopatra,National Theatre (Olivier),Tragedy,"London, EN",London
2018-2019,The Band,Haymarket (Theatre Royal),Musical,"London, EN",London
2017-2018,Bat Out of Hell,Dominion Theatre,Musical,"London, EN",London
2018-2019,Beneath The Blue Rinse,Park Theatre,Play,"London, EN",London
2018-2019,Berberian Sound Studio,Donmar Warehouse,Play,"London, EN",London
2012-2013,The Book of Mormon,Prince of Wales Theatre,Musical,"London, EN",London
2018-2019,Bullet Hole,Park Theatre,Play,"London, EN",London
2018-2019,The Cane,Royal Court Jerwood Theatre Downstairs,Play,"London, EN",London
2018-2019,"Caroline, or Change",Playhouse Theatre,Musical,"London, EN",London
2017-2018,Chicago,Phoenix Theatre,Musical,"London, England, EN",London
2018-2019,A Christmas Carol,Old Vic Theatre,Play,"London, EN",London
2018-2019,Come From Away,Phoenix Theatre,Musical,"London, England, EN",London
2015-2016,The Comedy About a Bank Robbery,Criterion Theatre,Comedy,"London, EN",London
2018-2019,Coming Clean,Trafalgar Studios 2,Play,"London, EN",London
2018-2019,Company,Gielgud Theatre,Musical,"London, EN",London
2018-2019,The Convert,Young Vic Theatre,Drama,"London, EN",London
2018-2019,Cyprus Avenue,Royal Court Jerwood Theatre Downstairs,Drama,"London, EN",London
2018-2019,The Dame,Park Theatre,Play,"London, EN",London
2018-2019,David Walliams' Awful Auntie,Bloomsbury Theatre,Family,"London, EN",London
2019-2020,Dear Evan Hansen,Noël Coward Theatre (formerly Albery),Musical,"London, EN",London
2018-2019,Dialektikon,Park Theatre,Play,"London, EN",London
