time,show,venue,genre,location,type
2018-2019,The 1st Annual Trump Family Special ,The Triad,"Musical, Comedy","New York, NY",Off-Broadway
2018-2019,About Alice ,Theatre for a New Audience @ Polonsky Shakespeare Center,Play,"Brooklyn, NY",Off-Broadway
2018-2019,All is Calm: The Christmas Truce of 1914 ,Sheen Center,Musical,"New York, NY",Off-Broadway
2018-2019,Apologia ,Roundabout Theatre Company - Laura Pels Theatre,Play,"New York, NY",Off-Broadway
2018-2019,At the Illusionist's Table ,The McKittrick Hotel,"Play, Magic","New York, NY",Off-Broadway
2009-2010,Avenue Q ,New World Stages Stage III,Musical,"New York, NY",Off-Broadway
2018-2019,Bernie and Mikey's Trip to the Moon ,59E59 Theater B,"Play, Comedy","New York, NY",Off-Broadway
2018-2019,Bitter Greens ,59E59 Theater C,Play,"New York, NY",Off-Broadway
2018-2019,Black Light ,Greenwich House Theater,"Performance, Musical","New York, NY",
2018-2019,Blue Ridge ,Atlantic Theater Company/Linda Gross Theater,"Play, Comedy","New York, NY",Off-Broadway
2018-2019,The Book of Merman ,St. Luke&#x27;s Theatre,"Musical, Comedy","New York, NY",Off-Broadway
2018-2019,Catch as Catch Can ,The New Ohio Theatre,Play,"New York, NY",Off-Broadway
2018-2019,Chasing the New White Whale ,La MaMa / Ellen Stewart Theatre,Play,"New York, NY",Off-Broadway
2018-2019,A Chorus Line ,New York City Center,Musical,"New York, NY",Off-Broadway
2018-2019,Christmas in Hell ,York Theatre @ Saint Peters,"Musical, Comedy","New York, NY",
2018-2019,Cleopatra ,Chelsea Music Hall,Musical,"New York, NY",
2018-2019,"Clueless, The Musical ",The Pershing Square Signature Center/Alice Griffin Jewel Box Theatre,"Musical, Comedy","New York, NY",Off-Broadway
2018-2019,Daniel's Husband ,Westside Theatre (Upstairs),Comedy/Drama,"New York, NY",Off-Broadway
2018-2019,Days of Rage ,Second Stage Theatre,Play,"New York, NY",Off-Broadway
2018-2019,Dead Are My People ,Fourth Street Theatre,Play with Music,"New York, NY",
2018-2019,"The Dead, 1904 ",Irish Repertory Theatre,Play,"New York, NY",Off-Broadway
2018-2019,Dot ,The Billie Holiday Theatre,Dark Comedy,"Brooklyn, NY",
2018-2019,Downstairs ,Cherry Lane Theatre,"Play, Drama","New York, NY",Off-Broadway
2018-2019,Eve's Song ,Public Theater/LuEsther Hall,Play,"New York, NY",Off-Broadway
2018-2019,Fiddler on the Roof ,Museum of Jewish Heritage,Musical,"New York, NY",Off-Broadway
2018-2019,Fireflies ,Atlantic Theater Company/Linda Gross Theater,"Play, Drama","New York, NY",Off-Broadway
2017-2018,Frankenstein: A New Musical ,St. Luke&#x27;s Theatre,,"New York, NY",Off-Broadway
2018-2019,Girl From the North Country ,Public Theater/Newman Theater,Play with Music,"New York, NY",Off-Broadway
2018-2019,The Girl Who Handcuffed Houdini ,Theatre 80,Play,"New York, NY",Off-Broadway
2018-2019,Gloria: A Life ,Daryl Roth Theatre,Play,"New York, NY",Off-Broadway
