time,show,venue,genre,location,type
2018-2019,1776,Laguna Playhouse - Mainstage,Musical,"Laguna Beach, CA",Regional/ National Tours
2018-2019,1776,La Mirada Theatre for the Performing Arts,Musical,"La Mirada, CA",Regional/ National Tours
2019-2020,1776,St. Louis Muny,Musical,"St. Louis, MO",Regional/ National Tours
2018-2019,1984,The Otto M. Budig Theater,Play,"Cincinnati, OH",Regional/ National Tours
2018-2019,1984,Playhouse on the Square - Circuit Playhouse,Drama,"Memphis, TN",Regional/ National Tours
2018-2019,The 39 Steps,Rep Stage,"Comedy, Play","Columbia, MD",Regional/ National Tours
2018-2019,The Absolute Brightness of Leonard Pelkey,American Blues Theater @Stage773,"Solo, Comedy/Drama","Chicago, IL",Regional/ National Tours
2018-2019,Actually,Arena Stage - Kogod Cradle,Play,"Washington D.C., DC",Regional/ National Tours
2018-2019,Actually,Aurora Theatre,Play,"Berkeley, CA",Regional/ National Tours
2018-2019,Actually,San Diego Repertory at the Lyceum Theater,Play,"San Diego, CA",Regional/ National Tours
2018-2019,Actually,TheaterWorks,Play,"Hartford, CT",Regional/ National Tours
2018-2019,The Addams Family,The Old Creamery Theatre Company - Price Creek Theatre,Musical,"Amana, IA",Regional/ National Tours
2019-2020,The Addams Family,Marian &amp; Severson Theatres @ PCPA - Pacific Conservatory Theatre,Musical,"Santa Maria, CA",Regional/ National Tours
2019-2020,The Addams Family,Solvang Festival Theatre @ PCPA - Pacific Conservatory Theatre,Musical,"Solvang, CA",Regional/ National Tours
2018-2019,Admissions,The Repertory Theatre of St. Louis -- Emerson Studio Theatre,Play,"St. Louis, MO",Regional/ National Tours
2018-2019,Admissions,Studio Theatre,Play,"Washington, DC",Regional/ National Tours
2018-2019,The Adventures of Augie March,Court Theatre,Play,"Chicago, IL",Regional/ National Tours
2019-2020,Agatha Christie: Rule of Thumb,Park Square Theatre,"Play, Mystery","St. Paul, MN",Regional/ National Tours
2018-2019,The Agitators,Park Square Theatre,Play,"St. Paul, MN",Regional/ National Tours
2018-2019,Aida,John W. Engeman Theater,Musical,"Northport, NY",Regional/ National Tours
2018-2019,Ain't Misbehavin',Signature @ The Max,Musical Revue,"Arlington, VA",Regional/ National Tours
