season,gross,attendance,duration
2017-18,"1,416",,17.0
2016-17,"1,007",,13.9
2015-16,981,981,14
2014-15,957,957,13.7
2013-14,933,933,13.9
2012-13,881,881,13.9
2011-12,812,812,12.8
2010-11,810,810,13.2
2009-10,947,947,15.9
2008-09,881,881,14.3
2007-08,955,955,15.3
2006-07,833,833,14.2
2005-06,831,831,15
2004-05,706,706,12.9
2003-04,704,704,12.4
2002-03,618,618,11.7
2001-02,551,551,10.8
2000-01,526,526,10.6
1999-00,553,553,11.4
1998-99,664,664,13.9
1997-98,618,618,13.3
1996-97,627,627,11.5
1995-96,590,590,11.4
1994-95,547,547,9.9
1993-94,570,570,10.9
1992-93,466,466,9
1991-92,503,503,12.9
1990-91,450,450,12.5
1989-90,367,367,11.1
1988-89,256,256,8.3
1987-88,223,223,7.6
1986-87,224,224,8.3
1985-86,236,236,8.7
1984-85,226,226,8.2
